Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,_order:1010
1598e79e-0023-4aad-a441-308a08a30a5b,0,Amytriptilyne 25mg,Amytriptilyne,Comprimé,25mg,,
27389a68-6fe2-48d7-afdf-9479ca755f18,0,Amytriptilyne 50mg/2ml,Amytriptilyne,Injection,50mg/2ml,,
f3881ef7-8910-4465-8db1-f96634865750,0,"Antiamaril (Fièvre jaune) VAA 1 dose/0,5ml",Antiammon (Yellow Fever) VAA,Injection,,,
8a52185b-0d72-45cc-aec9-cf2b11f0dfc0,0,Antibactérien Fl/250ml,Antibacterial Gel,Gel,,,
b6d5f35f-b7df-4381-b6ef-095d6bb57327,0,Antibactérien Fl/500ml,Antibacterial Gel,Gel,,,
1a97a231-fe91-439d-a61c-814c22d37063,0,Antidiphtérique/Antitétanique/ Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye B (DTC-Hep B+Hib),Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Injection,,,
81e6e59b-6865-4913-9ce0-e7ca464fa6dd,0,Antihémorroïdaire 30g,Antihémorroidaire,Crème,30g,,
5fb9ba5e-e316-47f1-b11b-59660a0a9b52,0,"Antihémorroïdaire",Antihémorroidaire,Suppositoire,,,
f17132f8-f94a-46db-b4c0-de81bd01b741,0,"Antihépatite B (Hép B) 10µgs/0,5ml",Anti-Hepatitis B (Hep B),Injection,"10µgs/0,5ml",,
d4b55591-6800-42ac-8733-0d5dc280681c,0,Antihépatite B (Hép B) 20µgs/1ml,Anti-Hepatitis B (Hep B),Injection,20µgs/1ml,,
04b54ae8-2ed4-4bf4-9c53-f921ec212269,0,"Antiméningococcique A, C, W Y I 35 50µg/0,5ml","Antimeningococcal A, C, WYI 35",Injection,"50µg/0,5ml",,
f7bf40f2-7226-4d7c-972d-182fdd7810a4,0,"Antimoniate de Méglumine 1,5g/ml",Meglumine Antimoniate,Injection,"1,5g/ml",,
ad56cabe-b8b5-4b5e-8f53-f1f2af1ef4ef,0,"Antimoniate de Méglumine 8,1%/5ml",Meglumine Antimoniate,Injection,"8,1%/5ml",,
47a9000c-c3de-4442-9b1d-838d7993ad13,0,"Antipoliomyélite (VPO) 1 dose/0,5ml",Antipoliomyelitis (OPV),Injection,"1 dose/0,5ml",,
05f421a5-ada2-44f8-b13b-63714394fd7b,0,Antirabique 150UI/ml,Antirabies,Injection,150UI/ml,,
38a51107-3843-4602-8c36-b4ad5cd184e2,0,Antirougeoleux (VAR),Measles (Var),Injection,,,
9d42657d-ea04-475b-a70f-0257c9ef0acd,0,"Antitétanique ≥ 40UI/0,5ml",Antitetanus drug,Injection,"40UI/0,5ml",,
da37e7e6-20d9-4a6a-883c-0b37ca072b47,0,"Antitoxine Tétanique, humaine 1500 UI/ml, 1ml","Tetanus Antitoxin, Human",Vial,1500 UI/ml,,
f84d81a4-c5d0-450b-9787-bdca58f8fe75,0,Antituberculeux (BCG) 10 doses/ml pour adulte et enfants à partir de 12 mois,Antituberculosis (BCG),Injection,10 doses/ml,,
b9c56a58-1686-401f-9853-f22c2008e21b,0,Antituberculeux (BCG) 20 doses pour enfants de moins de 12 mois,Antituberculosis (BCG),Injection,,,
0420f46d-184c-4aba-99ce-95dbae354fdc,0,Antivenimeux,Antivenom,Injection,,,
bbac164a-9536-4d72-b3b8-753b288ec1d2,0,Apomorphine 10mg/ml,Apomorphine,Injection,10mg/ml,,
0744300e-93f9-4f9d-850d-30a64e33ad39,0,Aqueuse Fl/250g,Aqueous Cream,Crème,Fl/250g,,
efc46805-f0e7-418c-9d13-a3b771171251,0,Artemether 200mg,Artemether,Suppositoire,200mg,,
bbb81ca0-1c66-46c5-a72a-bcd9ecc2984e,0,Artemether 20mg/ml ,Artemether,Ampoule,20mg,,
d43342d3-2ed5-4e1b-935e-924e6e525483,0,Artemether 40mg/ml,Artemether,Ampoule,40mg,,
e4217c3c-5984-45dd-a260-330bdd48d77f,0,Artemether 50mg,Artemether,Suppositoire,50mg,,
4b73a2fb-9094-4b2f-bd8d-5e0a0a4f6271,0,Artemether 80mg injectable,Artemether,Ampoule,80mg,,
75a2f6af-1752-47f0-b61c-80aea2902eb9,0,Artemether+Luméfantrine 180/1080mg 60ml,Artemether + Lumefantrine,Sirop,180/1080mg,,
e22f6d34-d519-4ee2-a0b9-36c5a5196b1d,0,Artemether+Luméfantrine 20/120mg (6x2),Artemether + Lumefantrine,Comprimé,20/120mg,,
c38ded8d-16c8-4e0c-b0c8-2e8b45bc1b29,0,Artemether+Luméfantrine 20/120mg (6x3),Artemether + Lumefantrine,Comprimé,20/120mg,,
39baf293-5881-4341-a94b-99855d781ea0,0,Artemether+Luméfantrine 20/120mg (6x4),Artemether + Lumefantrine,Comprimé,20/120mg,,
8908f1f1-a0d3-4997-b036-61820db55e3d,0,Artemether+Luméfantrine 80/480mg CP,Artemether + Lumefantrine,Comprimé,80/480mg,,
878fa292-9dbe-4223-9736-e53f0c4a9851,0,Artésunate 60mg,Artesunate,Injection,60mg,,
d817a303-7796-4ae4-9527-c92f059f2cf9,0,"Artésunate+Amodiaquine 100/270mg, 3",Artesunate + Amodiaquine,Comprimé,100/270mg,,
852110e7-9d70-4312-89b7-4cd49384bd04,0,"Artésunate+Amodiaquine 100/270mg, 6",Artesunate + Amodiaquine,Comprimé,100/270mg,,
a03f649e-c728-4f43-b92b-cf517513fa3b,0,"Artésunate+Amodiaquine 25mg+62,5mg",Artesunate + Amodiaquine,Comprimé,"25mg+62,5mg",,
0583de95-ec3a-4ad0-9d3f-02e90078e830,0,Artésunate+Amodiaquine 50mg+135mg,Artesunate + Amodiaquine,Comprimé,50mg+135mg,,
fb2e49e9-3181-449b-9759-f0894f8debc2,0,Atenolol 100mg,Atenolol,Comprimé,100mg,,
be257163-b086-4d98-a47f-7721f67048fc,0,Atenolol 50mg,Atenolol,Comprimé,50mg,,
0e2796dc-77bb-4d76-baee-23210b221e26,0,"Atropine 0,1%",Atropine,Collyre,"0,10%",,
333c9304-50f5-442d-b027-5ed96acd3a04,0,"Atropine 0,25mg/1ml",Atropine,Comprimé,"0,25mg/1ml",,
a43e7e59-99c9-4eff-8c26-1a162c44d4a0,0,"Atropine 0,25mg/ml",Atropine,Injection,"0,25mg/ml",,
2d2a282c-6d4c-4fe2-b96a-623898e12b33,0,"Atropine 0,3%",Atropine,Collyre,"0,30%",,
d79e0f49-b1f5-4fa9-8cd3-d17f550cc6d9,0,"Atropine 0,5%",Atropine,Collyre,"0,50%",,
6683d8f3-e039-4dec-88ce-9dace7ad15d8,0,Atropine 1%,Atropine,Collyre,1%,,
420cca99-fbcf-4466-a75c-fa2d30df6cd1,0,Atropine 1mg/1ml,Atropine,Comprimé,1mg/1ml,,
a425e91b-f525-4358-9b9d-6eef159087f2,0,Atropine 1mg/ml,Atropine,Injection,1mg/ml,,
bc6b6042-c60d-4bf7-854d-b05a19f35946,0,Atropine Sulfate 1mg/ml 1ml,Atropine Sulfate,Ampoule,1mg/ml,,
eb270b24-4c9c-4b98-a06c-6d9972cdacb0,0,Bacitracine alpha amylase 400mg,Bacitracin Alpha Amylase,Comprimé,400mg,,
fd38b658-fd01-4700-ad45-59ee0b2f5f25,0,"Benzathine Benzyl Pénicilline 1,2 MUI",Benzathine Benzyl Penicillin,Injection,"1,2 MUI",,
62b8c88e-35a1-43a0-b97a-36ce216558c9,0,"Benzathine Benzyl Pénicilline 2,4 MUI",Benzathine Benzyl Penicillin,Injection,"2,4 MUI",,
6e9fa2a2-b176-4a9e-b37d-6ae8721d6eb4,0,Benzathine Benzyl Pénicilline 600mg,Benzathine Benzyl Penicillin,Injection,600mg,,
a6b7496b-e8f7-4ccd-b8f4-706ebca66233,0,"Benzathine Benzylpénicilline 1,4 MUI",Benzathine Benzyl Penicillin,Injection,"1,4 MUI",,
a28a5f7c-8477-434b-89a3-3a41ddd2053f,0,Benzathine Benzylpénicilline 600UI,Benzathine Benzyl Penicillin,Injection,600UI,,
9c14c3a1-5e5d-4302-a03c-8d31b6628dc6,0,Benzoate de Benzyl 25%,Benzyl Benzoate,Crème,25%,,
00096ca0-c595-4b67-bdab-c7568d38eeeb,0,"Benzyle Benzoate 25%, diluée, 125ml FL",Benzyl Benzoate Solution,Injection,25%,,
4456478b-efd7-4bd5-b332-a8511974c9b5,0,Benzylpénicilline Sodique PPI 1 Méga UI,Benzylpenicillin Sodium PPI,Vial,,,
c9aafed5-12c1-4739-a7bb-b6856896e94a,0,Benzylpénicilline Sodique PPI 5 Méga UI,Benzylpenicillin Sodium PPI,Vial,,,
aa498ba8-47e0-47d4-bd71-2c29cb570939,0,"Bétaméthazone dermique 0.1% 15 g,",Betamethasone,Crème,"0,10%",,
1c45a92b-0d3a-4c7f-89e2-b77fd2ff2eea,0,"Béthaméthasone 0,1%",Betamethasone,Pommade,"0,10%",,
da811c2d-1ed9-4e29-9f9d-97973ebc80a6,0,"Béthaméthazone 0.1% 15 g,",Béthaméthazone,Crème,"0,10%",,
e4aaab9d-4c24-4d43-9203-44ca19b905ef,0,"Bicarbonate de sodium 1,4%",Sodium Bicarbonate,Injection,"1,40%",,
7a4ea10c-f23d-4835-8f45-a575213e00d4,0,Bicarbonate de sodium 14%/500ml,Sodium Bicarbonate,Solution,14%/500ml,,
170f5f97-1698-4770-8319-1764ef6e08bc,0,Bicarbonate de sodium 42%/250ml,Sodium Bicarbonate,Solution,42%/250ml,,
a045f452-bc02-41c9-b719-27f605adb7f2,0,Bipéridène 2mg,Biperiden,Comprimé,2mg,,
c87139d7-5e3a-44b5-97fc-7d42ee1429d5,0,Bipéridène 5mg/ml,Biperiden,Injection,5mg/ml,,
9060d10b-9a6d-4245-9c17-69f2a5b42fe0,0,"Bisacodyl 5mg,",Bisacodyl,Comprimé,5mg/ml,,
970b8e69-f623-4e73-ad55-e7433551c321,0,Bléomycine 15mg/10ml,Bleomycin,Injection,15mg/10ml,,
039b6bf2-c674-4400-91ce-e844aae8eb93,0,Bleu de méthylène 10%,Methylene Blue,Solution,10%,,
230efcc0-cef9-4505-a2a3-c229fcc024a9,0,Bleu patenté N° 5 50mg/2ml,Patent Blue N ° 5,Injection,50mg/2ml,,
f664a8a2-e68d-4c0e-8da1-3e725d6956da,0,"Bupivacaïne 0,25%",Bupivacaine,Injection,"0,25%",,
13d5084c-2451-4786-bbac-b2ec71798a41,0,"Bupivacaïne 0,5%",Bupivacaine,Injection,"0,50%",,
65d1e2a3-de5d-4d8c-9bff-cbfd1acd6bab,0,Bupivacaïne 500mg/20ml,Bupivacaine,Injection,500mg/20ml,,
399d6263-13a1-413b-a04a-a296346e841f,0,Bupivacaïne Chlorhydr. (Marcaine) isotonique 0.5% 100mg/20ml,"Bupivacaine Chlorhydr. (Marcaine), Isotonic",Vial,100mg/20ml,,
fe7bbf0a-f758-402a-a318-431650de21bb,0,"Bupivacaïne hyperbare 0,5%/4ml",Hyperbaric Bupivacaine,Injection,"0,5%/4ml",,
b36bc556-0e72-4087-9286-556dea211399,0,"Bupivacaïne+Epinéphrine 0,25%",Bupivacaine + Epinephrine,Injection,"0,25%",,
9ba92a5d-546c-4e2c-a2ca-3433f47c5e72,0,"Bupivacaïne+Epinéphrine 1%, Fl/20ml",Bupivacaine + Epinephrine,Injection,"1%, Fl/20ml",,
6e0d2698-48f9-4791-bb06-f9542729a4c5,0,"Bupivacaïne+Epinéphrine 2%, Fl/20ml",Bupivacaine + Epinephrine,Injection,"2%, Fl/20ml",,
2a54b219-fbe2-46fc-b843-61b5fc76bbce,0,"Buprenorphine 0,2mg sublingual",Buprenorphine,Comprimé,"0,2mg",,
cd7150d5-5d59-4e53-b5e5-2a40a9ecfa12,0,"Buprenorphine 0,3mg/ml",Buprenorphine,Injection,"0,3mg/ml",,
370cf1ec-9ae4-4867-bbb2-2fbce29e7b3b,0,Calamine,Calamine,Crème,,,
b1b9ad8c-56cc-4a10-b821-4588ffb73501,0,Calcium Folinique 15mg,Folinic Calcium,Comprimé,15mg,,
6dcb20f0-a07a-46c3-ad3c-35965ae9c473,0,Calcium Gluconate 10% 1g/10ml,Calcium Gluconate,Ampoule,10% 1g/10ml,,
964077bf-7d92-493b-9fa0-a25d36516ab1,0,Capecitabine 150mg,Capecitabine,Comprimé,150mg,,
07d6a83c-3a1c-40e6-988a-d69ec5487f43,0,Capecitabine 500mg,Capecitabine,Comprimé,500mg,,
a789f2ee-ac0b-4fe5-9e2d-fbb6983835b9,0,Capréomycine 1g,Capreomycin,Injection,1g,,
d38162e3-91ac-4492-b06a-16b1ac2c46b2,0,Captopril 25mg,Captopril,Comprimé,25mg,,
78e53b56-564b-4838-b26c-4751c7082fd0,0,Captopril+Hydrochlorathiazide 50mg+25mg,Captopril + Hydrochlorathiazide,Comprimé,50mg+25mg,,
0a33138c-e16b-4839-9f7b-646e6f3334f3,0,Carbamazepine 100mg/5ml,Carbamazepine,Sirop,100mg/5ml,,
c46bdd09-588f-48d1-b244-1684776e53d6,0,Carbamazépine 200mg,Carbamazepine,Comprimé,200mg,,
2d42df72-cf82-497c-a9d0-f62a5dbcd9fd,0,Carbamazepine 400mg LP,Carbamazepine,Comprimé,400mg,,
94b7a9a2-b282-435a-b0fa-1de44a10fdac,0,Carbazochrome 50mg,Carbazochrome,Injection,50mg,,
148a2d2f-98ac-4e4e-b192-a8dfc52e4a9f,0,Carbimazole 20mg,Carbimazole,Comprimé,20mg,,
c0a4036a-405e-48ea-9be2-6d5030acf023,0,Carbimazole 5mg,Carbimazole,Comprimé,5mg,,
b382de99-5981-4a10-8f99-f86edfa452fb,0,Carbocystéïne 2%,Carbocysteine,Sirop,2%,,
8548ba0a-8b67-497b-be00-f518845936ca,0,Carbocystéïne 2g/100ml FL/125ml,Carbocysteine,Injection,2g/100ml,,
283d7156-6ebf-48ee-afd1-b46ff8a30c1c,0,Carbocystéïne 5%,Carbocysteine,Sirop,5%,,
9a4cf9d7-3fa8-47f8-863c-4c1115e0e246,0,Carbonate Calcium 300mg,Carbonate Calcium,Comprimé,300mg,,
bd1fe129-8b80-4ff1-8391-aa97838d89b6,0,Carbonate Calcium 500mg,Carbonate Calcium,Comprimé,500mg,,
c9550f45-fc3f-41d8-9abe-e54292b06414,0,"Carvedilol 12,5mg",Carvedilol,Comprimé,"12,5mg",,
78b74d90-f27d-4b5a-902d-c56c704483a1,0,Carvedilol 25mg,Carvedilol,Comprimé,25mg,,
690cf2b9-7fb8-4ba5-8dc4-faa94aeb35ac,0,"Carvedilol 6,25mg",Carvedilol,Comprimé,"6,25mg",,
8817728f-1bde-48a0-9814-01b0e3789969,0,Cefotaxime 1000mg,Cefotaxime,Injection,1000mg,,
ffc1623b-7ea4-4bd9-8855-27d14e919d4e,0,Cefotaxime 500mg,Cefotaxime,Injection,500mg,,
9e3027e2-f533-4f83-ae88-ca7185d514f9,0,"Ceftriaxone 1000mg/3,5ml",Ceftriaxone,Injection,"1000mg/3,5ml",,
8a30cef4-3d0d-4c21-85c7-380f6290c132,0,"Ceftriaxone 250mg/ml, 500mg/2ml",Ceftriaxone,Injection,250mg/ml,,
990016b3-e455-4ed8-aefa-372f4bab1acd,0,"Ceftriaxone Disodique, 1g",Ceftriaxone,Ampoule,1g,,
c6c8f975-473d-4c2b-b668-7f42a80ed9c9,0,Cefuroxime 125mg/5ml,Cefuroxime,Sirop,125mg/5ml,,
4f14e0f0-2cb7-4ddd-a2be-e5c1fc1162c6,0,Cefuroxime 250mg,Cefuroxime,Comprimé,250mg,,
6b0c1415-10b3-4632-a759-4bad343a7fb4,0,Charbon activé 125mg capsule,Activated Carbon,Comprimé,125mg,,
57ce2e69-1749-4a11-bc74-173979a5b003,0,Charbon activé 50g,Activated Carbon,Poudre,50g,,
bdf013cb-91db-40b5-99c5-f9f1ae78a8dc,0,Chlorambucil 2mg,Chlorambucil,Comprimé,2mg,,
656afcf3-2217-475b-bceb-48daf04dbc27,0,"Chloramphénicol 250mg, sous blsiter",Chloramphenicol,Capsule,250mg,,
4eb36f18-e206-440e-8140-ba5b4b23bf54,0,"Chloramphénicol Huileux, 500mg, 2ml",Chloramphenicol,Ampoule,500mg,,
e1244085-f16c-4781-a8b9-2f1319e2a4e6,0,Chloramphénicol Succinate Sodique PPI 1g,Chloramphenicol,Vial,1g,,
d6868d5e-abfe-4509-b009-12f7973c8c36,0,Chlorhexidine digluconate 20%,Chlorhexidine Digluconate,Solution,20%,,
96f76192-2b68-4c9a-a5bf-9a2ae75448c9,0,Chlorhexidine digluconate 5%,Chlorhexidine Digluconate,Solution,5%,,
c16a6c6d-6c89-4898-81c4-2e0d05ec247e,0,Chlorphéniramine 10mg/ml,Chlorpheniramine,Injection,10mg/ml,,
de6d6fe6-77c3-4b90-89f6-81ea9a613fa6,0,"Chlorpheniramine Maléate 4mg, sous blister",Chlorpheniramine Maleate,Comprimé,4mg,,
efb4bbe5-0ad6-4914-996a-4bd7cac2b683,0,Chlorpromazine 100mg,Chlorpromazine,Comprimé,100mg,,
46fb6db5-4f62-4e17-8354-2b91baad0156,0,Chlorpromazine 10mg,Chlorpromazine,Comprimé,10mg,,
bebfcc68-3635-45cf-b4cb-27ef225bd589,0,Chlorpromazine 25mg,Chlorpromazine,Comprimé,25mg,,
dcc76540-ed12-4eed-b132-1c61cd897d0a,0,Chlorpromazine 25mg/5ml,Chlorpromazine,Sirop,25mg/5ml,,
1ea7e833-d8ec-4ecc-ba70-bb70f8bbf7b6,0,Chlorpromazine 25mg/ml 50mg/2ml,Chlorpromazine,Ampoule,25mg/ml,,
517cb3a8-a05a-4993-949f-59afd19dd001,0,Chlorpromazine 25mg/ml/2ml,Chlorpromazine,Injection,25mg/ml,,
7e2c3042-abdd-485e-a16f-752b01950242,0,Chlorpromazine 50mg,Chlorpromazine,Comprimé,50mg,,
9a58f1a3-842c-429a-8d3f-9f743991e69e,0,Chlorure de potassium 10%/1g/10ml,Potassium Chloride,Injection,1g/10ml,,
ac42e065-5137-4b0b-8f69-402bd0be1130,0,Chlorure de potassium 600mg,Potassium Chloride,Comprimé,600mg,,
