uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1270
51802b2a-bdcc-42ff-87c5-2f52b8d570c7,Alcool éthylique,Ethyl Alcohol,Alcool éthylique,Ethyl Alcohol,Drug,N/A,,
758f7a4d-a7b3-49b9-9643-6a6ae99006cd,Alizapride,Alizapride,Alizapride,Alizapride,Drug,N/A,,
c9b2d001-2cbb-4324-bd79-651b37a2e8e6,Amidotrizoate de sodium,Sodium Amidotrizoate,Amidotrizoate de sodium,Sodium Amidotrizoate,Drug,N/A,,
96e57608-83d7-49d8-bfe4-6bb88d7f39a1,Aminophylline,Aminophylline,Aminophylline,Aminophylline,Drug,N/A,,
4fdf8d9e-9eae-4d4c-be94-546d971711c0,Amiodarone,Amiodarone,Amiodarone,Amiodarone,Drug,N/A,,
1604a68a-babd-4218-8aca-042d79bad39b,Amoxycilline,Amoxycillin,Amoxycilline,Amoxycillin,Drug,N/A,,
4b3b5f30-a758-42c8-a8c3-2a3e3a11ed50,Amoxycilline + acide clavulanique,Amoxycillin + Clavulanic Acid,Amoxycilline + acide clavulanique,Amoxycillin + Clavulanic Acid,Drug,N/A,,
e92fde02-640c-4ad6-b8a7-c955e107b4d6,Amytriptilyne,Amytriptilyne,Amytriptilyne,Amytriptilyne,Drug,N/A,,
32073425-f27a-48cc-83e9-b05b3fe2ee1e,Antiamaril (Fièvre jaune) VAA,Antiammon (Yellow Fever) VAA,Antiamaril (Fièvre jaune) VAA,Antiammon (Yellow Fever) VAA,Drug,N/A,,
1c5bbc8a-6c46-4e33-8874-e309f3f3d224,Antidiphtérique/Antitétanique Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye b (DTC -  Hep B  +  Hib),Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Antidiphtérique/Antitétanique Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye b (DTC -  Hep B  +  Hib),Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Drug,N/A,,
52937128-42db-4854-932a-11d9f0762d25,Antihémorroidaire,Antihémorroidaire,Antihémorroidaire,Antihémorroidaire,Drug,N/A,,
b138686e-b320-44d3-bc61-1886af6702c9,Antihépatite B (Hép B),Anti-Hepatitis B (Hep B),Antihépatite B (Hép B),Anti-Hepatitis B (Hep B),Drug,N/A,,
90cecb4b-3eba-4c2e-9b2e-d3244259a881,"Antiméningococcique A, C, W Y I 35","Antimeningococcal A, C, WYI 35","Antiméningococcique A, C, W Y I 35","Antimeningococcal A, C, WYI 35",Drug,N/A,,
4a811608-25c5-4aaf-b1f6-6c797b7de53e,Antimoniate de méglumine,Meglumine Antimoniate,Antimoniate de méglumine,Meglumine Antimoniate,Drug,N/A,,
bd4afdd2-c21a-44f9-b1ac-efc7af9ba4fb,Antipoliomyélite (VPO),Antipoliomyelitis (OPV),Antipoliomyélite (VPO),Antipoliomyelitis (OPV),Drug,N/A,,
9407ec0c-78d6-47f8-85e4-272b94718b15,Antirabique,Antirabies,Antirabique,Antirabies,Drug,N/A,,
08910e4a-a3de-428d-97c8-b0cc3c4b209f,Antirougeoleux (VAR),Measles (VAR),Antirougeoleux (VAR),Measles (Var),Drug,N/A,,
df115ad4-3300-4326-98a1-28e4c17091b9,Antitétanique drug,Antitetanus drug,Antitétanique,Antitetanus,Drug,N/A,,
2a874820-6f34-48f7-8d9e-1c5fd32b710e,"Antitoxine Tétanique, humaine","Tetanus Antitoxin, Human","Antitoxine Tétanique, humaine","Tetanus Antitoxin, Human",Drug,N/A,,
5a967a3f-87af-43d7-8bf7-4f2523b9677a,Antituberculeux (BCG),Antituberculosis (BCG),Antituberculeux (BCG),Antituberculosis (BCG),Drug,N/A,,
6e83e65a-56cb-4362-b885-1f81fd0853ad,Antivenimeux,Antivenom,Antivenimeux,Antivenom,Drug,N/A,,
2ba536b8-234f-4dac-8147-f694f3dd4c2a,Apomorphine,Apomorphine,Apomorphine,Apomorphine,Drug,N/A,,
a47e3af0-c757-43e4-a940-81a7d28d4184,Artemether,Artemether,Artemether,Artemether,Drug,N/A,,
74157093-f925-484e-8cef-39b24e6e611e,Artemether + luméfantrine,Artemether + Lumefantrine,Artemether + luméfantrine,Artemether + Lumefantrine,Drug,N/A,,
4db73206-b254-4762-98d2-de4fe3856485,Artésunate,Artesunate,Artésunate,Artesunate,Drug,N/A,,
346d9735-3ddd-4afe-b8a1-ad7d99c5ce68,Artésunate + amodiaquine,Artesunate + Amodiaquine,Artésunate + amodiaquine,Artesunate + Amodiaquine,Drug,N/A,,
6dd2d8fb-d3aa-42a3-8a15-2053633c0df7,Atropine Sulfate,Atropine Sulfate,Atropine Sulfate,Atropine Sulfate,Drug,N/A,,
f76ecad2-9fd0-488f-8516-aab52b7da7d0,Bacitracine alpha amylase,Bacitracin Alpha Amylase,Bacitracine alpha amylase,Bacitracin Alpha Amylase,Drug,N/A,,
3f748aef-038e-46dc-ab2c-cfb035061d2f,Benzathine benzyl pénicilline,Benzathine Benzyl Penicillin,Benzathine benzyl pénicilline,Benzathine Benzyl Penicillin,Drug,N/A,,
66704834-ed0b-4b67-826f-0111ab90f503,Benzoate de benzyl,Benzyl Benzoate,Benzoate de benzyl,Benzyl Benzoate,Drug,N/A,,
fa8df33b-ff32-4c41-9285-7fed7b334ed9,Benzyle benzoate solution,Benzyl Benzoate Solution,Benzyle benzoate solution,Benzyl Benzoate Solution,Drug,N/A,,
bb2db9db-e24b-41fa-a7a8-5c99f3376715,Benzylpénicilline sodique PPI,Benzylpenicillin Sodium PPI,Benzylpénicilline sodique PPI,Benzylpenicillin Sodium PPI,Drug,N/A,,
0c6c3099-8227-42f5-aaa0-1a5e99e855a9,Béthaméthazone,Béthaméthazone,Béthaméthazone,Béthaméthazone,Drug,N/A,,
8770ea51-a484-41fc-a896-65b1dc591169,Bicarbonate de sodium,Sodium Bicarbonate,Bicarbonate de sodium,Sodium Bicarbonate,Drug,N/A,,
d72d94ed-efc5-464d-bf67-8ac68035b190,Bipéridène,Biperiden,Bipéridène,Biperiden,Drug,N/A,,
7d2bf433-0649-413b-b68c-8ba59c8381d8,Bisacodyl,Bisacodyl,Bisacodyl,Bisacodyl,Drug,N/A,,
4fd3e9cb-4ba9-4c8e-9ef7-4bceac12437f,Bléomycine,Bleomycin,Bléomycine,Bleomycin,Drug,N/A,,
506be298-d48b-43d9-9081-a6a7c74e1ffd,Bleu de méthylène,Methylene Blue,Bleu de méthylène,Methylene Blue,Drug,N/A,,
d84061d1-c6bb-416d-9086-2a0e8ee0339a,Bleu patenté N° 5,Patent Blue N ° 5,Bleu patenté N° 5,Patent Blue N ° 5,Drug,N/A,,
f9828fb2-8e35-4861-849f-45cb684ee7b8,Bupivacaïne,Bupivacaine,Bupivacaïne,Bupivacaine,Drug,N/A,,
efed90e9-f06d-4d5a-bb9f-414dd33b01a0,Bupivacaïne  + epinéphrine,Bupivacaine + Epinephrine,Bupivacaïne  + epinéphrine,Bupivacaine + Epinephrine,Drug,N/A,,
31a3605e-994c-42f9-89b8-c76f9a5873ce,Bupivacaïne  hyperbare,Hyperbaric Bupivacaine,Bupivacaïne  hyperbare,Hyperbaric Bupivacaine,Drug,N/A,,
489dc84f-6a8a-44c3-a9a3-c6603c44c7e0,"Bupivacaïne Chlorhydr. (Marcaïne), isotonique","Bupivacaine Chlorhydr. (Marcaine), Isotonic","Bupivacaïne Chlorhydr. (Marcaïne), isotonique","Bupivacaine Chlorhydr. (Marcaine), Isotonic",Drug,N/A,,
8108d005-056b-4fa6-98a5-f77becac265f,Buprenorphine,Buprenorphine,Buprenorphine,Buprenorphine,Drug,N/A,,
20bc8e90-6b6e-4a6a-9aed-0dfcde0d1e2e,Calcium folinique,Folinic Calcium,Calcium folinique,Folinic Calcium,Drug,N/A,,
012b32eb-222d-4705-8cd6-58be9c682b5d,Capecitabine,Capecitabine,Capecitabine,Capecitabine,Drug,N/A,,
7a785c05-6f74-442d-910a-62cdbab04f1c,Capréomycine,Capreomycin,Capréomycine,Capreomycin,Drug,N/A,,
f4ecf01c-44b6-4481-b834-af610cf89d54,Captopril,Captopril,Captopril,Captopril,Drug,N/A,,
1b36fe12-02b4-4e69-9c69-c16fcca1a4e8,Captopril + Hydrochlorathiazide,Captopril + Hydrochlorathiazide,Captopril + Hydrochlorathiazide,Captopril + Hydrochlorathiazide,Drug,N/A,,
f1ed10de-4558-4362-804b-06eff2282c88,Carbamazépine,Carbamazepine,Carbamazépine,Carbamazepine,Drug,N/A,,
91ec1f07-ad65-41c5-9eae-ac048ea09077,Carbazochrome,Carbazochrome,Carbazochrome,Carbazochrome,Drug,N/A,,
966b79ce-2232-4100-b81b-279b63c74200,Carbimazole,Carbimazole,Carbimazole,Carbimazole,Drug,N/A,,
b93079d2-f660-4d99-9358-66c68db0314a,Carbocystéine,Carbocysteine,Carbocystéine,Carbocysteine,Drug,N/A,,
83165115-cb2c-4715-985a-59b673e9dd3b,Carbonate Calcium,Carbonate Calcium,Carbonate Calcium,Carbonate Calcium,Drug,N/A,,
21044dd4-6281-4c4c-bf48-f71307f913a6,Carvedilol,Carvedilol,Carvedilol,Carvedilol,Drug,N/A,,
422dbf27-0e72-4f7e-b951-2d19accb347b,Cefotaxime,Cefotaxime,Cefotaxime,Cefotaxime,Drug,N/A,,
8010f864-f5f3-4f9e-a727-d85a28d604e5,Cefuroxime,Cefuroxime,Cefuroxime,Cefuroxime,Drug,N/A,,
900f1d0a-1f8c-4869-ad7f-988f9a79b731,Charbon activé,Activated Carbon,Charbon activé,Activated Carbon,Drug,N/A,,
9fd3ac37-b853-4a84-b66a-5dea28e35b82,Chlorambucil,Chlorambucil,Chlorambucil,Chlorambucil,Drug,N/A,,
f103f62c-ca0e-4170-b3c0-c651bd61befc,Chloramphénicol,Chloramphenicol,Chloramphénicol,Chloramphenicol,Drug,N/A,,
9d7c5f3d-60d6-4414-9dec-ef11d6bcd18f,Chlorhexidine digluconate,Chlorhexidine Digluconate,Chlorhexidine digluconate,Chlorhexidine Digluconate,Drug,N/A,,
22f546aa-5c34-41cf-89f0-e077cf4a5ec8,Chlorpheniramine maléate,Chlorpheniramine Maleate,Chlorpheniramine maléate,Chlorpheniramine Maleate,Drug,N/A,,
dfdca486-aba2-4047-a65a-3f155547593a,Chlorure de sodium,Sodium Chloride,Chlorure de sodium,Sodium Chloride,Drug,N/A,,
7a685619-f68c-4a11-8483-ae71c5ff71da,Cinnarizine,Cinnarizine,Cinnarizine,Cinnarizine,Drug,N/A,,
253e6c1d-66a7-4346-919c-c06489aed50b,Cisplatine,Cisplatin,Cisplatine,Cisplatin,Drug,N/A,,
d71f5f7b-d6b9-4d0d-94de-9a9c9f94315d,Clarythromycine,Clarithromycin,Clarythromycine,Clarithromycin,Drug,N/A,,
cc7e1470-b479-4ba7-b629-e2b27fdd34cf,Clindamycine,Clindamycin,Clindamycine,Clindamycin,Drug,N/A,,
ff77e727-9821-44bc-b515-e53bf3289e14,Clofazimine,Clofazimine,Clofazimine,Clofazimine,Drug,N/A,,
db942526-7732-43fe-b196-1ab66b7ba4b1,Clomipramine,Clomipramine,Clomipramine,Clomipramine,Drug,N/A,,
a276da25-e107-4d64-a950-9d3b7a9a5bee,Clonazepam,Clonazepam,Clonazepam,Clonazepam,Drug,N/A,,
ce1d3990-68df-4114-a197-075a3a461841,Clonidine,Clonidine,Clonidine,Clonidine,Drug,N/A,,
12a18752-26d6-424d-9fe1-5687ff90406b,Codéine + Paracétamol,Codeine + Paracetamol,Codéine + Paracétamol,Codeine + Paracetamol,Drug,N/A,,
501e193a-9377-41e9-ae09-c9dd5e44142c,Colchicine,Colchicine,Colchicine,Colchicine,Drug,N/A,,
2ed3eeb6-4fe1-4d18-82ff-6ea200f3da6a,Complexe vitaminique B1 B6 B12,Vitamin Complex B1 B6 B12,Complexe vitaminique B1 B6 B12,Vitamin Complex B1 B6 B12,Drug,N/A,,
7018a785-9a72-4348-9175-88349e67803f,Crème Aqueuse,Aqueous Cream,Crème Aqueuse,Aqueous Cream,Drug,N/A,,
ad23c722-a407-48a9-817f-7dc5d88f9de4,Cromoglycate disodique,Disodium Cromoglycate,Cromoglycate disodique,Disodium Cromoglycate,Drug,N/A,,
969c129b-81e8-4ee3-8352-56438c538c77,Crotamiton,Crotamiton,Crotamiton,Crotamiton,Drug,N/A,,
1d97715d-8e4f-4ca4-8b03-17367bb2b930,Cyanocolamine (Vit. B12),Cyanocolamine (Vit B12),Cyanocolamine (Vit. B12),Cyanocolamine (Vit B12),Drug,N/A,,
c7e4c7aa-302c-45ae-b15f-429a6d5920a2,Cyclocérine,Cyclocérine,Cyclocérine,Cyclocérine,Drug,N/A,,
b136b438-b94d-408a-b9f7-c325516df831,Cyclopentolate,Cyclopentolate,Cyclopentolate,Cyclopentolate,Drug,N/A,,
0268d762-3eb6-454b-8f1c-729169232e3a,Cyclophosphamide,Cyclophosphamide,Cyclophosphamide,Cyclophosphamide,Drug,N/A,,
79c949be-16e1-4ac1-8632-06f5c26993d8,Cyclosporine,Cyclosporine,Cyclosporine,Cyclosporine,Drug,N/A,,
963fdbc0-a146-453d-8945-10225e80b817,Cyprotérone,Cyproterone,Cyprotérone,Cyproterone,Drug,N/A,,
af616a05-4607-44dc-874d-55dd5f01472b,Cytarabine,Cytarabine,Cytarabine,Cytarabine,Drug,N/A,,
f621b42d-f096-4acf-ba77-059ebac7f39e,Cytotec,Cytotec,Cytotec,Cytotec,Drug,N/A,,
ddfe97a6-1189-4223-82fd-a032020379b7,Dacarbazine,Dacarbazine,Dacarbazine,Dacarbazine,Drug,N/A,,
a1f38d17-c0d2-4936-86f3-e0e91d19b953,Dantrolène,Dantrolene,Dantrolène,Dantrolene,Drug,N/A,,
cd1c0927-52db-4132-82d2-a35ebac93d97,Dapsone,Dapsone,Dapsone,Dapsone,Drug,N/A,,
d8ee9070-2d45-4fde-91d5-cb3c8c434af6,Daunorubicine,Daunorubicin,Daunorubicine,Daunorubicin,Drug,N/A,,
f72c9cfc-47b2-48ec-add1-c3c8b8eb5a41,Deferrioxamine,Desferrioxamine,Deferrioxamine,Desferrioxamine,Drug,N/A,,
4f0685e6-3c38-4fbf-99f2-0b3b869cb6fb,Dermobacter,Dermobacter,Dermobacter,Dermobacter,Drug,N/A,,
ded868e5-f918-4263-8e71-fd8d5818f690,Dexamethasone phosphate sodique,Dexamethasone Sodium Phosphate,Dexamethasone phosphate sodique,Dexamethasone Sodium Phosphate,Drug,N/A,,
1386e6c4-b6f9-401f-9435-331b42db7b69,Dextrométhophane,Dextrométhophane,Dextrométhophane,Dextrométhophane,Drug,N/A,,
6a96d644-42b2-4180-a9b6-e8d3c1cd989f,Diethylcabamazine Citrate,Diethylcabamazine Citrate,Diethylcabamazine Citrate,Diethylcabamazine Citrate,Drug,N/A,,
db188dca-a365-4838-8123-fd4ec6da44f8,Diféuines,Diféuines,Diféuines,Diféuines,Drug,N/A,,
f9f81e9b-b49b-45f4-a676-e60f5626e5e4,Dihydralazine,Dihydralazine,Dihydralazine,Dihydralazine,Drug,N/A,,
a127726c-d591-4831-b687-d4fdd6a9cb51,Dinitrate d’isosorbide,Isosorbide Dinitrate,Dinitrate d’isosorbide,Isosorbide Dinitrate,Drug,N/A,,
fb2d5ffe-1f7d-4c03-a50d-4a6512e39234,Diosmectite,Diosmectite,Diosmectite,Diosmectite,Drug,N/A,,
d3705e3e-6844-4b31-946d-b88af7a705a5,Dioxyde de carbone Inhalation,Carbon Dioxide Inhalation,Dioxyde de carbone Inhalation,Carbon Dioxide Inhalation,Drug,N/A,,
fe9dd94b-3a53-4b70-8094-188d676515ee,Dobutamine,Dobutamine,Dobutamine,Dobutamine,Drug,N/A,,
0c19b4fb-b824-4c6a-8cc2-6897e4cb7ca9,Docétaxel,Docetaxel,Docétaxel,Docetaxel,Drug,N/A,,
9295fb04-2970-4912-ac1e-d2f02a2d03f8,Dopamine Chlorhydrate,Dopamine Hydrochloride,Dopamine Chlorhydrate,Dopamine Hydrochloride,Drug,N/A,,
9b7b0c4c-9b71-49f1-8472-dcf8d17aa7bb,Doxorubicine,Doxorubicin,Doxorubicine,Doxorubicin,Drug,N/A,,
31fe01df-3c9a-4df9-be69-9f0ac7707b4c,Doxycycline Chlorhydrate,Doxycycline Hydrochloride,Doxycycline Chlorhydrate,Doxycycline Hydrochloride,Drug,N/A,,
874e6048-dc09-46ec-a5e1-716a2a45aae1,Dropéridol,Droperidol,Dropéridol,Droperidol,Drug,N/A,,
83d81feb-77dd-4b88-86d6-f2f2369bca80,Drotaverine Butylscopolaminebromide,Drotaverine Butylscopolaminebromide,Drotaverine Butylscopolaminebromide,Drotaverine Butylscopolaminebromide,Drug,N/A,,
49dc1007-ba4c-4c09-a05d-a3530a58973d,Eau pour préparation injectable (EPPI),Water For Injection (EPPI),Eau pour préparation injectable (EPPI),Water For Injection (Eppi),Drug,N/A,,
1e501443-2d4d-48ba-9523-6a7853d9ab70,Eflonitine,Eflonitine,Eflonitine,Eflonitine,Drug,N/A,,
ae057a62-0b2c-419e-bdf1-504b6c6cf168,Enoxaparine,Enoxaparin,Enoxaparine,Enoxaparin,Drug,N/A,,
84366d3a-7bcb-4f4e-a840-d6072cbed40b,Eosine,Eosin,Eosine,Eosin,Drug,N/A,,
bf91b2fd-bb1b-4d87-9da2-4fb7413c9e29,Ephédrine,Ephedrine,Ephédrine,Ephedrine,Drug,N/A,,
c81d4930-55ea-4e90-a8f6-dedcc8cf45b1,Epinéphrine,Epinephrine,Epinéphrine,Epinephrine,Drug,N/A,,
f4fd78a2-860a-4961-b8cf-0446aee94d57,Epinéphrine (Adrénaline),Epinephrine (Adrenaline),Epinéphrine (Adrénaline),Epinephrine (Adrenaline),Drug,N/A,,
3e587345-971c-4e36-86f1-3a6cf7f3ab68,Ergocalciférol,Ergocalciferol,Ergocalciférol,Ergocalciferol,Drug,N/A,,
e7524b00-3393-4af1-bada-3f80a5027e40,Ergométrine,Ergometrine,Ergométrine,Ergometrine,Drug,N/A,,
79888366-26ae-4190-b4c7-147aa3eaf258,Ergotamine Tartrate,Ergotamine Tartrate,Ergotamine Tartrate,Ergotamine Tartrate,Drug,N/A,,
ababf746-96ac-4625-a9d0-b76dd5dcf8dc,Erythromycine,Erythromycin,Erythromycine,Erythromycin,Drug,N/A,,
b3108f47-d5a2-4b09-b66d-e4f6a71cd779,Erythromycine Stéarate,Erythromycin Stearate,Erythromycine Stéarate,Erythromycin Stearate,Drug,N/A,,
a22678e3-92c8-4752-8fc0-50cccd1bd194,Erythropoïétine Humaine recombinée,Recombinant Human Erythropoietin,Erythropoïétine Humaine recombinée,Recombinant Human Erythropoietin,Drug,N/A,,
6fca6004-134a-49ff-b4ff-c0f016415237,Esters éthyliques d’acides gras iodés de l’huile d’œillette,Ethyl Esters Of Iodized Fatty Acids Of Carnation Oil,Esters éthyliques d’acides gras iodés de l’huile d’œillette,Ethyl Esters Of Iodized Fatty Acids Of Carnation Oil,Drug,N/A,,
58ea4ebf-7a65-4818-9eda-f3c7e4f28d3f,Ether éthylique,Ether,Ether éthylique,Ether,Drug,N/A,,
10700767-3cbc-49f0-971b-93e02b480066,Ethosuximide,Ethosuximide,Ethosuximide,Ethosuximide,Drug,N/A,,
3daa2306-1c14-432b-aa52-1063bba95d39,Etomidate,Etomidate,Etomidate,Etomidate,Drug,N/A,,
dcc2c1e9-7751-4a76-a10e-6d7b3a36370c,Etoposide,Etoposide,Etoposide,Etoposide,Drug,N/A,,
4ad8c090-c7a2-423c-ad20-d784ddc67613,Fentanyl,Fentanyl,Fentanyl,Fentanyl,Drug,N/A,,
c3508f74-8cef-4809-a979-3f1ba74a20de,Fer,Iron,Fer,Iron,Drug,N/A,,
342ba97e-5940-420f-8f22-211fba2b6930,Fer + complexe B,Iron + B Complex,Fer + complexe B,Iron + B Complex,Drug,N/A,,
31a20539-b7b9-49f4-a578-3a2e443f1857,Fer Acide Folique Vit B12,Iron Folic Acid Vit B12,Fer Acide Folique Vit B12,Iron Folic Acid Vit B12,Drug,N/A,,
e41bc5f2-9a23-454d-875f-86b31245b48c,Ferreux Sel  +  Folique Acide,Ferrous Salt + Folic Acid,Ferreux Sel  +  Folique Acide,Ferrous Salt + Folic Acid,Drug,N/A,,
ee2d0a48-39b5-4a50-aaf7-0ddad206779c,Filgastim,Filgastim,Filgastim,Filgastim,Drug,N/A,,
a44cf63e-588d-4013-af0e-a3a0e23c3968,Fludrocortisone,Fludrocortisone,Fludrocortisone,Fludrocortisone,Drug,N/A,,
3cac963c-b610-43cc-afd4-74402aeed9b4,Flumazénil,Flumazenil,Flumazénil,Flumazenil,Drug,N/A,,
ea805ee2-7507-4345-9895-d691077bd8ab,Fluoreceïne sodique,Fluorecein Sodium,Fluoreceïne sodique,Fluorecein Sodium,Drug,N/A,,
dcd56a18-812c-4e94-a28a-80d77c4f8ad1,Fluorescéine,Fluorescein,Fluorescéine,Fluorescein,Drug,N/A,,
1da6cefc-6414-47f9-987e-a74c712f4871,Fluorométholone,Fluorometholone,Fluorométholone,Fluorometholone,Drug,N/A,,
489e7141-b930-4418-8163-2ff009570278,Fluphénazine,Fluphenazine,Fluphénazine,Fluphenazine,Drug,N/A,,
7cd38d83-8cf3-497c-ab6f-fdb3bafe4fb0,Folinate de Calcium,Calcium Folinate,Folinate de Calcium,Calcium Folinate,Drug,N/A,,
4522147f-96f0-40c2-beea-ae3c9e9c0456,Formol,Formalin,Formol,Formalin,Drug,N/A,,
9b5e8a3f-6cfc-445e-8fcc-281b36dd17b7,Framycétine,Framycetin,Framycétine,Framycetin,Drug,N/A,,
e92d6ba6-7432-453e-9001-80b3bc9382a6,Gatifloxacine,Gatifloxacin,Gatifloxacine,Gatifloxacin,Drug,N/A,,
dadbcadb-60df-4a1b-acf4-ebd2d9a1a5db,Gel antibactérien,Antibacterial Gel,Gel antibactérien,Antibacterial Gel,Drug,N/A,,
8c12def1-2b4f-4805-8f68-3bbefdbae396,Gélatine fluide modifiée,Modified Fluid Gelatin,Gélatine fluide modifiée,Modified Fluid Gelatin,Drug,N/A,,
4ef922e2-24af-46ec-92da-2a4e14669002,Gentamicine,Gentamicin,Gentamicine,Gentamicin,Drug,N/A,,
577c4d87-277f-4ed8-8eea-1404c04cf2ff,Gentamycine Collyre,Gentamycin Collyre,Gentamycine Collyre,Gentamycin Collyre,Drug,N/A,,
377cab9b-b9cb-403c-9b77-1a6a640aec25,Gentamycine Sulfate,Gentamycin Sulfate,Gentamycine Sulfate,Gentamycin Sulfate,Drug,N/A,,
0a96e152-7f44-4a36-bcdb-9f20a61c4d43,Glibenclamide,Glibenclamide,Glibenclamide,Glibenclamide,Drug,N/A,,
aaff57b3-eaa9-4f10-b504-a619e03a7039,Gliclazide,Gliclazide,Gliclazide,Gliclazide,Drug,N/A,,
e5bcb13d-cd3c-4411-9c69-d299a277efef,Glucose,Glucose,Glucose,Glucose,Drug,N/A,,
a1c97b51-9df4-4ce7-8804-6e77c43341d5,Glucose (Dextrose),Glucose (Dextrose),Glucose (Dextrose),Glucose (Dextrose),Drug,N/A,,
a53111ab-1675-4a2b-beb6-0e964866ac27,Glutaraldéhyde,Glutaraldehyde,Glutaraldéhyde,Glutaraldehyde,Drug,N/A,,
f6b6c8b0-8530-44d4-a81a-db1c35162f06,Glycerine,Glycerin,Glycerine,Glycerin,Drug,N/A,,
77878758-1099-41b5-b91c-a7d77acd0c9b,Glyceryl nitrate,Glyceryl Nitrate,Glyceryl nitrate,Glyceryl Nitrate,Drug,N/A,,
5b1fed1a-ba05-4803-bd6d-266cd035aa79,Glycol isotonique,Isotonic Glycol,Glycol isotonique,Isotonic Glycol,Drug,N/A,,
0a4f3d17-2b19-4d21-9ade-a00f34c65e54,Gosereline,Goserelin,Gosereline,Goserelin,Drug,N/A,,
0b378cf3-b8b4-405c-b02e-e9bd270c1c84,Griséofulvine,Griseofulvin,Griséofulvine,Griseofulvin,Drug,N/A,,
6ae3098c-2564-433a-95a5-459ee8f74d5d,Halotane pour anesthésie,Halotane For Anesthesia,Halotane pour anesthésie,Halotane For Anesthesia,Drug,N/A,,
72201743-e160-48f9-aa28-dffddc452ba2,Halothane,Halothane,Halothane,Halothane,Drug,N/A,,
07e80e80-e686-4ee7-b3d8-cef70c1b7592,Héparine non fractionnée sodique,Unfractionated Heparin Sodium,Héparine non fractionnée sodique,Unfractionated Heparin Sodium,Drug,N/A,,
66b1eb88-9d0c-44fb-8d0a-46f7476f3618,Huile de paraffine,Paraffin Oil,Huile de paraffine,Paraffin Oil,Drug,N/A,,
fc8c52ac-3a23-4111-a2ad-d3d02e35459b,Huile de soja émulsion,Soybean Oil Emulsion,Huile de soja émulsion,Soybean Oil Emulsion,Drug,N/A,,
6b240caa-be70-4a41-a897-4cac85c66668,Hydrocortisone Succinate Sodique PPI,Hydrocortisone Sodium Succinate PPI,Hydrocortisone Succinate Sodique PPI,Hydrocortisone Sodium Succinate Ppi,Drug,N/A,,
486e2704-6a62-4204-9034-3076bb3a2db8,Hydroxocobalamine,Hydroxocobalamin,Hydroxocobalamine,Hydroxocobalamin,Drug,N/A,,
d53e196c-e90b-4b51-be4a-580530bb4f78,Hydroxyde d’aluminium,Aluminum Hydroxide,Hydroxyde d’aluminium,Aluminum Hydroxide,Drug,N/A,,
